plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
various trees and shrubs,Canker diseases,various,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FSUB-BT.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-WO-CYTO-TR.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-AM-CFIM-TR.008a.jpg,,,,,"a canker is a localized dead (necrotic) area on branches, trunks, or roots. cankers vary greatly in appearance but are often a circular or oblong lesion that may be discolored, oozing, or sunken. cutting under cankered bark usually reveals discolored tissue, which may have a well-defined margin separating it from healthy tissue. when cankers entirely circle (girdle) stems or trunks, foliage turns yellow or brown and wilts as the plant dies outward or upward from the canker. bacterial blight and canker, mechanical injuries (e.g., equipment impact and pruning), sunburn, and sunscald are other common causes of cankers.",,"to manage canker diseases, do not plant species that are poorly adapted to local conditions. botryosphaeria canker of giant sequoia, chinese elm anthracnose canker, and cypress canker of leyland and monterey cypress are virtually unavoidable when their hosts are poorly located; planting other species or resistant cultivars is the only practical management strategy. many canker diseases primarily damage plants that lack proper cultural care. keep plants vigorous to avoid and limit these diseases. prune dead and dying branches when they are first observed, making the cuts in healthy wood below any apparent cankers, and use good sanitation to avoid spreading canker pathogens on contaminated tools.",,,"canker diseases€”botryosphaeria, cytospora, and nectria spp. and others","most common canker disease pathogens are fungi. many plant species are susceptible to botryosphaeria, cytospora, and nectria cankers. more host-specific canker diseases include those infecting chinese elm, cypress, pine, sycamore, and walnut."
various trees and shrubs,"Collar, foot, root, and crown rot",Phytophthora spp.,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PCIN-FS.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-CI-PHSP-TR.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AM-PSPP-TR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AV-PCIN-RO.002a.jpg,,,,,"root- and crown-infecting phytophthora cause leaves to wilt, discolor, remain undersized, and drop prematurely. twigs and branches die back and the entire plant, especially when young, can be killed as roots and vascular tissue die. plants infected when they are mature grow slowly and may gradually decline. small brownish lesions encircling feeder roots are an early symptom of infection. as disease progresses, the small, fibrous feeder roots become scarce. where present, the small roots are black, brittle, and dead from infection. woody roots decaying from phytophthora alone are firm and brittle but eventually soften as secondary decay organisms develop. depending on environmental conditions and the species of pathogen and host plant, sap that is black, brown, or reddish may ooze from darkened areas of trunk bark. cutting away bark from the basal trunk and roots often reveals a brown or reddish streak, stain, or canker in infected wood with a water-soaked margin separating it from the healthy whitish or yellowish wood. confirmation of phytophthora requires sending an appropriate plant sample with viable infection to a diagnostic laboratory. test kits that employ the serological (antigen-antibody) technique elisa (enzyme-linked immunosorbent assay) are available for use in the field to confirm the presence of phytophthora where research-based sampling recommendations have been developed.","phytophthora spp. can survive in the soil for many years. they require high soil moisture to infect host roots, so the pathogen thrives in areas of excess soil moisture and poor drainage. the pathogen infects the smaller (feeder) roots. infected root tissue develops spore-forming structures (sporangia) and produces spores (chlamydospores, oospores, zoospores). phytophthora spores spread from tree to tree easily and rapidly in water as it moves over or through the soil and the spores persist in soil and water. phytophthora spp. are commonly introduced into gardens and landscapes through the planting of infested nursery stock. after planting, disease develops and the introduced phytophthora spreads in the landscape in drainage water and soil movement. phytophthora also spreads through the movement of contaminated equipment and shoes and through any human or animal activity that moves moist soil from one place to another.","use only nursery stock that has been certified to be free of phytophthora spp. and obtain plants from reputable local suppliers. inspect roots and reject plants that show decayed roots or evidence of crown rot. prepare the site well before planting, use excellent sanitation, and provide appropriate cultural care, especially proper irrigation. good water management is the most important factor in reducing the threat of phytophthora root and crown rot. where soils are compacted, drain poorly, or are often soggy, improve drainage and plant only species not reported to be susceptible to p. cinnamomi.",,,phytophthora root and crown rot€”phytophthora spp.,"phytophthora cinnamomi and other phytophthora spp. commonly cause maladies that are also called collar rots, foot rots, and phytophthora root rot. these funguslike water molds (oomycetes) affect many plant species. phytophthora ramorum infects aboveground plant parts and causes sudden oak death and ramorum blight."
various trees and shrubs,Common split gill,Schizophyllum commune,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-WO-UNKN-TR.019h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-WO-UNKN-TR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/T/D-WO-TVER-FU.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-AV-UNKC-TR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74109.html,
various trees and shrubs,Crown gall,Agrobacterium tumefaciens,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-ATUM-TR.009a.jpg,,,,,,,"sanitation is the most important management strategy for crown gall. clean tools, containers, and work surfaces frequently and treat them with a commercial disinfectant. use only high-quality plants. avoid injuring plants, especially around the soil level and when plants are wet. dig out and destroy infected plants. in hot areas, solarizing the soil before planting can reduce crown gall bacteria in the soil. infection may be prevented by dipping cuttings in agrobacterium tumefaciens k-84, a biological control agent that produces an antibiotic that reduces or eliminates infection.",,,crown gall€”agrobacterium tumefaciens,"crown gall hosts include chrysanthemum, dahlia, geranium, marigold, peony, and snapdragon. the crown gall bacterium causes distorted growths or galls, principally on the basal stem and root crown at the soil line or just below the soil surface. galls sometimes also form on roots, limbs, and trunks of many species of woody plants. under moist conditions, galls may appear on upper stems or even leaves of some plants. infected plants may become distorted, grow slowly, and become stressed and susceptible to drought or other problems. foliage may be chlorotic and leaves may be small."
various trees and shrubs,Damping off diseases,Pythium spp.,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSSP-BT.005a.jpg,,,,,,,"prevent damping-off diseases by preparing the site well before planting and providing appropriate cultural care, especially proper irrigation. solarizing the soil before planting can reduce pythium and rhizoctonia fungi.",,,damping-off diseases€”pythium and rhizoctonia spp.,"several soilborne fungi, including rhizoctonia spp. and water molds such as pythium, thrive under wet soil conditions. infected roots become soft, mushy, darkened, and decayed. water mold fungi also cause ""damping-off,"" the death of seedlings that collapse at the soil line under damp conditions. more mature plants infected with pythium grow slowly and may gradually decline, exhibit terminal dieback, and die."
various trees and shrubs,Damping off diseases,Rhizoctonia spp.,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSSP-BT.005a.jpg,,,,,,,"prevent damping-off diseases by preparing the site well before planting and providing appropriate cultural care, especially proper irrigation. solarizing the soil before planting can reduce pythium and rhizoctonia fungi.",,,damping-off diseases€”pythium and rhizoctonia spp.,"several soilborne fungi, including rhizoctonia spp. and water molds such as pythium, thrive under wet soil conditions. infected roots become soft, mushy, darkened, and decayed. water mold fungi also cause ""damping-off,"" the death of seedlings that collapse at the soil line under damp conditions. more mature plants infected with pythium grow slowly and may gradually decline, exhibit terminal dieback, and die."
various trees and shrubs,Dematophora root rot (Rosellinia root rot),Dematophora necatrix,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/D/D-AP-DNEC-FU.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AP-DNEC-TR.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AP-DNEC-FU.018a.jpg,,,,,"foliage symptoms as described below are generally the first clue that a root disease is present. rosellinia also produces cobwebby mycelia that may be visible on the lower trunk, in soil over infected roots, growing from infected roots, or beneath bark of the root crown and major roots. these whitish growths of rosellinia are much smaller and more scattered in comparison with the fanlike mycelia of armillaria root disease found under bark. mycelia of rosellinia also lack the characteristic mushroomlike odor produced by fresh mycelia of armillaria. in comparison, phytophthora root rot produces no whitish mycelia. when rosellinia root rot is the cause of disease, exposing roots and removing the cortex (outer layer) of infected roots will reveal a whitish, fluffy layer of fungal mycelia. older mycelia of rosellinia can become blackish, brown, or tan and may occur crustlike on dead roots or the root crown. dark cankers may be present in the lower trunk and main roots of infected hosts. when rosellinia-infected bark or root pieces are sealed in a moist chamber such as a plastic bag or jar for a few days, abundant, white mycelia are produced. tiny, stalked spore-forming structures (coremia) with fluffy white growths on the end may also be produced and visible with a hand lens. if rosellinia root rot is suspected, it may be best to quickly seek an expert to confirm its presence. prompt removal of the infested host may be warranted before the fungus spreads to nearby hosts.","the fungus lives as mycelia in roots of infected plants. rosellinia can also persist in soil for several years in dried pieces of infected bark and wood. when the soil is moist and especially if soggy and of moderate temperature, the mycelia grow from infected roots and spread through the soil. if mycelia contact healthy roots of a host, they penetrate them and cause infection. once inside a root the fungus spreads throughout the entire root system. infected roots die rapidly. if plants of the same species grow near each other they may naturally form root grafts through which r. necatrix can spread from plant to plant. damage over 300 species of woody plants can be infected by rosellinia species. hosts include apple, avocado, ceanothus, cotoneaster, holly, pear, poplar, privet, and viburnum. note that cause of rosellinia root rot in avocado is rosellinia bunodes. see fungal databases from the u.s. department of agriculture for a complete list of rosellinia hosts. aboveground symptoms of rosellinia root rot are the same as those of various other root and crown rots including armillaria root disease and phytophthora root rot. root rot initially causes foliage yellowing and wilting throughout the entire plant or in just a portion of the canopy. leaves are undersized and sparse. branches that are killed often retain dry foliage. hosts generally die relatively quickly when infected with r. necatrix.",,"over 300 species of woody plants can be infected by rosellinia species. hosts include apple, avocado, ceanothus, cotoneaster, holly, pear, poplar, privet, and viburnum. note that cause of rosellinia root rot in avocado is rosellinia bunodes. see fungal databases from the u.s. department of agriculture for a complete list of rosellinia hosts. aboveground symptoms of rosellinia root rot are the same as those of various other root and crown rots including armillaria root disease and phytophthora root rot. root rot initially causes foliage yellowing and wilting throughout the entire plant or in just a portion of the canopy. leaves are undersized and sparse. branches that are killed often retain dry foliage. hosts generally die relatively quickly when infected with r. necatrix. solutions there are no effective fungicides or other cure for hosts infected with r. necatrix. prevention is the only available management strategy. obtain high-quality nursery stock that is pathogen-free from a reputable source. minimize the likelihood of rosellinia root rot by preparing the site well before planting. good soil drainage and appropriate irrigation are especially important. for example, if soil drains poorly, plant on soil mounds or raised beds. provide established plants a good growing environment and proper cultural care. especially avoid excess irrigation and aeration deficit, or waterlogging (soggy soil). if a plant died from rosellinia root rot, uproot and dispose of it. if the same species grows nearby, trench around the infested site to break any root grafts that can naturally form between the same species growing near each other. before replanting, remove as many root pieces from soil as possible. establish a dry (unirrigated) zone where the rosellinia-killed plant grew and prevent soil movement or water runoff from the infested site. do not replant the site with hosts of r. necatrix. adapted from integrated pest management for avocados and pests of landscape trees and shrubs: an integrated pest management guide, university of california statewide integrated pest management program (uc ipm).",,"dematophora root rot, or rosellinia root rot€”rosellinia (=dematophora) necatrix","rosellinia species fungi, most commonly r. necatrix, cause dematophora or rosellinia root rot, also called white root rot. although relatively uncommon in landscapes, when it occurs it quickly kills hosts."
various trees and shrubs,Dematophora root rot (Rosellinia root rot),Rosellinia necatrix,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/D/D-AP-DNEC-FU.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AP-DNEC-TR.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AP-DNEC-FU.018a.jpg,,,,,"foliage symptoms as described below are generally the first clue that a root disease is present. rosellinia also produces cobwebby mycelia that may be visible on the lower trunk, in soil over infected roots, growing from infected roots, or beneath bark of the root crown and major roots. these whitish growths of rosellinia are much smaller and more scattered in comparison with the fanlike mycelia of armillaria root disease found under bark. mycelia of rosellinia also lack the characteristic mushroomlike odor produced by fresh mycelia of armillaria. in comparison, phytophthora root rot produces no whitish mycelia. when rosellinia root rot is the cause of disease, exposing roots and removing the cortex (outer layer) of infected roots will reveal a whitish, fluffy layer of fungal mycelia. older mycelia of rosellinia can become blackish, brown, or tan and may occur crustlike on dead roots or the root crown. dark cankers may be present in the lower trunk and main roots of infected hosts. when rosellinia-infected bark or root pieces are sealed in a moist chamber such as a plastic bag or jar for a few days, abundant, white mycelia are produced. tiny, stalked spore-forming structures (coremia) with fluffy white growths on the end may also be produced and visible with a hand lens. if rosellinia root rot is suspected, it may be best to quickly seek an expert to confirm its presence. prompt removal of the infested host may be warranted before the fungus spreads to nearby hosts.","the fungus lives as mycelia in roots of infected plants. rosellinia can also persist in soil for several years in dried pieces of infected bark and wood. when the soil is moist and especially if soggy and of moderate temperature, the mycelia grow from infected roots and spread through the soil. if mycelia contact healthy roots of a host, they penetrate them and cause infection. once inside a root the fungus spreads throughout the entire root system. infected roots die rapidly. if plants of the same species grow near each other they may naturally form root grafts through which r. necatrix can spread from plant to plant. damage over 300 species of woody plants can be infected by rosellinia species. hosts include apple, avocado, ceanothus, cotoneaster, holly, pear, poplar, privet, and viburnum. note that cause of rosellinia root rot in avocado is rosellinia bunodes. see fungal databases from the u.s. department of agriculture for a complete list of rosellinia hosts. aboveground symptoms of rosellinia root rot are the same as those of various other root and crown rots including armillaria root disease and phytophthora root rot. root rot initially causes foliage yellowing and wilting throughout the entire plant or in just a portion of the canopy. leaves are undersized and sparse. branches that are killed often retain dry foliage. hosts generally die relatively quickly when infected with r. necatrix.",,"over 300 species of woody plants can be infected by rosellinia species. hosts include apple, avocado, ceanothus, cotoneaster, holly, pear, poplar, privet, and viburnum. note that cause of rosellinia root rot in avocado is rosellinia bunodes. see fungal databases from the u.s. department of agriculture for a complete list of rosellinia hosts. aboveground symptoms of rosellinia root rot are the same as those of various other root and crown rots including armillaria root disease and phytophthora root rot. root rot initially causes foliage yellowing and wilting throughout the entire plant or in just a portion of the canopy. leaves are undersized and sparse. branches that are killed often retain dry foliage. hosts generally die relatively quickly when infected with r. necatrix. solutions there are no effective fungicides or other cure for hosts infected with r. necatrix. prevention is the only available management strategy. obtain high-quality nursery stock that is pathogen-free from a reputable source. minimize the likelihood of rosellinia root rot by preparing the site well before planting. good soil drainage and appropriate irrigation are especially important. for example, if soil drains poorly, plant on soil mounds or raised beds. provide established plants a good growing environment and proper cultural care. especially avoid excess irrigation and aeration deficit, or waterlogging (soggy soil). if a plant died from rosellinia root rot, uproot and dispose of it. if the same species grows nearby, trench around the infested site to break any root grafts that can naturally form between the same species growing near each other. before replanting, remove as many root pieces from soil as possible. establish a dry (unirrigated) zone where the rosellinia-killed plant grew and prevent soil movement or water runoff from the infested site. do not replant the site with hosts of r. necatrix. adapted from integrated pest management for avocados and pests of landscape trees and shrubs: an integrated pest management guide, university of california statewide integrated pest management program (uc ipm).",,"dematophora root rot, or rosellinia root rot€”rosellinia (=dematophora) necatrix","rosellinia species fungi, most commonly r. necatrix, cause dematophora or rosellinia root rot, also called white root rot. although relatively uncommon in landscapes, when it occurs it quickly kills hosts."
various trees and shrubs,Entomosporium leaf spot,Entomosporium spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EMAC-FO.010a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EMAC-FO.008a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EMAC-FO.015a.jpg,,,,,"tiny, reddish spots, sometimes surrounded by a dark red, purple, or yellow halo, appear on infected leaves. spots darken and enlarge as the leaves mature. later, a spore-forming body develops in the center of the spots; these cream-colored specks may appear to be covered with a glossy membrane, beneath which white masses of spores are visible under magnification.","on deciduous plants, the fungus overwinters mainly as spores or mycelia on fallen leaves. on evergreen hosts, the fungus can also remain on leaves on the plant year-round. raindrops and overhead irrigation splash spores from infected plant tissue or contaminated leaf litter to healthy leaves. fungal infection and disease development can be severe when wet weather or overhead irrigation coincide with new plant growth.","remove and dispose of spotted leaves on plants and the ground near plants. use drip, flood, or low-volume sprinklers instead of overhead irrigation. consider removing ground covers beneath infected shrubs and mulching or maintaining bare soil instead. where the problem is severe, a copper fungicide or chlorothalonil can reduce damage if thoroughly sprayed on plants before they are damaged.",,,entomosporium leaf spot€”entomosporium mespili =diplocarpon mespili,"the fungus causes spotting and premature drop of leaves in most plants in the pomoideae group of the rose family. hosts include apple, crabapple, evergreen pear, hawthorn, loquat, photinia, pyracantha, quince, rhaphiolepis, serviceberry, and toyon."
various trees and shrubs,Fusarium wilt,Fusarium oxysporum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/F/D-WO-FOXY-FO.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-FL-FUSA-TU.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-BN-FOXT-ST.001a.jpg,,,,,"symptoms commonly appear first on one side of a plant. fusarium wilt causes foliage to yellow, wilt, then turn brown and die. older leaves generally discolor, wilt, and die first, followed by death of the entire plant. cutting into infected vascular tissue (e.g., wood xylem) can reveal that conducting tissue has turned brown, commonly all the way from the terminal shoot to the soil line. cross-sections of basal stems may reveal brown rings. masses of spore-bearing stalks are sometimes visible on dead tissue and may look like small pink cushions. symptoms of fusarium wilt and verticillium wilt can be indistinguishable. determining which is the cause of damage may require submitting samples to a plant diagnostic laboratory that cultures the fungus for positive identification.","fusarium hyphae (vegetative growth structures) germinate from long-lasting survival structures (chlamydospores) in the soil. the fungus infects plants through rootlets. it invades the xylem and eventually spreads throughout the plant's vascular system. pathogen spread within and between plants is favored by warm temperatures. fusarium has many special forms (called forma specialis, or f. sp.) or subspecies, each specific to certain plant hosts. fusarium does not spread from one host to infect plants in other genera. however, those other genera may be susceptible to different fusarium f. sp. most forms of f. oxysporum attack only herbaceous ornamentals and vegetable crops.","there is no effective fungicide or other cure for fusarium wilt. the pathogen nearly always kills infected hosts. prevention and exclusion are the only effective management strategies. avoid this problem by replanting at that site using species from different genera than plants previously infected there by fusarium. fusarium propagules persist in soil and will cause disease if the same plant genus is replanted at that site. grow cultivars resistant to fusarium if available for that plant species. for example ""fnv"" on a plant label means the plant is resistant to fusarium (f), nematodes (n), and verticillium (v). obtain new plants from a reliable, high-quality source. avoid planting in poorly drained soil; planting on mounds or raised beds is one remedy for this. provide plants a good growing environment and proper cultural care. especially do not overirrigate as this encourages shallow, surface rooting and shallow roots are more easily wounded and infected. avoid using undecayed organic amendments around fusarium hosts. avoid excessive fertilization especially with urea, which may promote development of fusarium wilt. keep mulch, other debris, and other plants away from the base of hosts, especially palms, because nearby plants and their management can wound palm roots. promptly remove and dispose of fusarium-infected plants to reduce pathogen spread to nearby hosts. soil solarization before planting may be effective in reducing or delaying infection of subsequently planted hosts. adapted from pests of landscape trees and shrubs: an integrated pest management guide, university of california statewide integrated pest management program (uc ipm).",,,fusarium wilt€”fusarium oxysporum,"various host-specific forms of fusarium oxysporum can kill infected plants. susceptible woody ornamentals include albizia (mimosa), certain cacti (e.g., prickly pear and saguaro), date palm, hebe, and pyracantha. herbaceous ornamental hosts include aster, carnation, chrysanthemum, cyclamen, daffodil, dahlia, freesia, and gladiolus. other hosts include asparagus, bean, cabbage, cantaloupe, pea, tomato, and watermelon."
various trees and shrubs,Gray mold (Botrytis blight),Botrytis cinerea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/B/D-FL-BCIN-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/B/D-ST-BCIN-FR.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/B/D-WO-BCIN-BL.013a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/B/D-WO-BCIN-BL.017a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/B/D-WO-BCIN-FO.004a.jpg,,,,,"disease often presents initially as tiny, almost translucent spots. these infected spots turn brown and appear water soaked. infected fruit, leaves, petals, and succulent stems become dark, soft, and wilted and die. succulent tissue of most plants is susceptible to botrytis blight. landscape hosts include azalea, bird of paradise, cacti, coast redwood, fuchsia, giant sequoia, hydrangea, rhododendron, and rose. spores germinate and produce new infections only after plants have been continuously wet for 6 or more consecutive hours or when relative humidity has been higher than about 90% for 6 or more hours. in greenhouses or outdoors in coastal areas botrytis and botryotinia diseases can be a problem almost any time of year. away from the coast, gray mold generally is a problem only during the late fall through early spring rainy season. however, botrytis blight can occur anywhere plants are frequently wetted by overhead irrigation, especially those growing under crowded and shaded conditions where air circulation is poor. azalea petal blight and rhododendron petal blight and camellia petal blight when these hosts are involved can resemble botrytis blight. however, botrytis blight is a drier rot that also affects dying or inactive green tissue. azalea petal blight, camellia petal blight, and rhododendron petal blight infect and kill only blossoms.","when humidity is high or plants are wet for at least 6 hours, declining or dying, soft tissues can become infected by airborne spores of botrytis and botryotinia species. healthy, actively growing green plant parts are seldom infected directly by these fungi. however, once petals or dead or weakened tissues are infected the fungus can move to invade adjacent, healthy green tissue that contacts diseased tissues. gray mold fungi do not infect woody parts. botrytis and botryotinia species can grow on almost any moist or decaying herbaceous vegetation. weeds and plant debris are common sources of gray mold spores, which are produced in enormous numbers and readily spread in air to nearby plants. gray mold is particularly troublesome under high humidity and moderate temperatures (70° to 77°f), but it is also active over a broader temperature range. damage infection by botrytis and botryotinia species causes herbaceous plant parts to decay, discolor, and wilt. affected plants develop spotted flower petals and leaves and infected buds can fail to open. when infected tissues are wet, commonly grayish fungal spores develop on the decaying tissue and give the tissues a fuzzy or woolly appearance. infected terminals may die back. on roses large, diffuse, target-like lesions can form on green canes.",,"infection by botrytis and botryotinia species causes herbaceous plant parts to decay, discolor, and wilt. affected plants develop spotted flower petals and leaves and infected buds can fail to open. when infected tissues are wet, commonly grayish fungal spores develop on the decaying tissue and give the tissues a fuzzy or woolly appearance. infected terminals may die back. on roses large, diffuse, target-like lesions can form on green canes. solutions provide proper cultural care to keep plants vigorous. use good sanitation practices and modify environmental conditions where feasible. remove and dispose of old blossoms, declining green plant tissue, plant debris, fallen leaves, and weeds. avoid wetting foliage, such as by using drip or microsprinkler irrigation. improve air circulation around plants. for example, adequately space plants, prune canopies to eliminate some branches and foliage, and cut back nearby and overhead vegetation. where gray mold has been a problem, the fungicides chlorothalonil, thiophanate methyl, or triforine can be applied before disease develops. fungicides are only preventative and generally are not very effective in landscapes when conditions (e.g., susceptible plant material and wet conditions) favor gray mold development. many gray mold populations are resistant to certain fungicides. adapted from integrated pest management for floriculture and nurseries and pests of landscape trees and shrubs: an integrated pest management guide, university of california statewide integrated pest management program (uc ipm).",,"botrytis blight, or gray mold€”botrytis and botryotinia spp.","gray mold is named for the brown, gray, or tan fungal spores that develop on infected tissue when conditions are humid or moist. the tiny, stalked spore-forming structures give rotted tissues a fuzzy appearance when viewed with the naked eye. various botrytis and botryotinia species cause gray mold, most commonly botrytis cinerea."
various trees and shrubs,Hairy root,Agrobacterium rhizogenes,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/A/D-FL-ARHI-RO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-FL-ARHI-RO.002a.jpg,,,,,,,purchase and plant only high-quality nursery stock. avoid injuring trees during transplanting. soil solarization during the hot dry season before planting may reduce hairy root bacteria in the soil.,,,hairy root€”agrobacterium rhizogenes,the hairy root bacterium causes many small rootlets to form on swollen root tips. plants may become stunted and discolor. they eventually may die.
various trees and shrubs,Hairy turkey tail,Trametes hirsuta,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-WO-UNKN-TR.019h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-WO-UNKN-TR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/T/D-WO-TVER-FU.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-AV-UNKC-TR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74109.html,
various trees and shrubs,Leaf gall,Exobasidium spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EVAC-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EVAC-FO.004a.jpg,,,,,,,"avoid overhead watering. prune only when dry. vigorous plants can tolerate extensive leaf galling. handpick or prune out galls. rake and dispose of fallen leaves. provide good air circulation. if symptoms are on azalea, thin crowded azaleas and consider removing some plants if nearby plants are closely spaced.",,,leaf gall€”exobasidium vaccinii,"leaves infected with the leaf gall fungus are partly or all thickened, distorted, and crisp. white or pinkish spores cover the infected tissue. the fungus that causes leaf gall spreads by air only during wet weather."
various trees and shrubs,Leaf spot diseases,various,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
various trees and shrubs,"Leaf spot, Entomosporium",Entomosporium spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EMAC-FO.010a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EMAC-FO.008a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-EMAC-FO.015a.jpg,,,,,"tiny, reddish spots, sometimes surrounded by a dark red, purple, or yellow halo, appear on infected leaves. spots darken and enlarge as the leaves mature. later, a spore-forming body develops in the center of the spots; these cream-colored specks may appear to be covered with a glossy membrane, beneath which white masses of spores are visible under magnification.","on deciduous plants, the fungus overwinters mainly as spores or mycelia on fallen leaves. on evergreen hosts, the fungus can also remain on leaves on the plant year-round. raindrops and overhead irrigation splash spores from infected plant tissue or contaminated leaf litter to healthy leaves. fungal infection and disease development can be severe when wet weather or overhead irrigation coincide with new plant growth.","remove and dispose of spotted leaves on plants and the ground near plants. use drip, flood, or low-volume sprinklers instead of overhead irrigation. consider removing ground covers beneath infected shrubs and mulching or maintaining bare soil instead. where the problem is severe, a copper fungicide or chlorothalonil can reduce damage if thoroughly sprayed on plants before they are damaged.",,,entomosporium leaf spot€”entomosporium mespili =diplocarpon mespili,"the fungus causes spotting and premature drop of leaves in most plants in the pomoideae group of the rose family. hosts include apple, crabapple, evergreen pear, hawthorn, loquat, photinia, pyracantha, quince, rhaphiolepis, serviceberry, and toyon."
various trees and shrubs,"Leaf spot, Septoria",Septoria spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/M/D-WO-MPOP-FO.003c.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-WO-SALN-FO.003a.jpg,,,,,"infection by septoria, which may be named mycosphaerella during the conidial (asexual) stage, causes round or angular, flecked, sunken, or irregular spots on mostly older leaves. black dots of spore-forming pycnidia may become visible within septoria lesions. populus spp. severely infected by septoria populicola develop both leaf spots and branch cankers (septoria canker).","the biology and management of septoria is similar to that of anthracnose. the fungi overwinter primarily in cankers and lesions in infected twigs. spores are produced when infected tissue is wet. spores spread by splashing and windborne rain, germinate, and infect new twigs and foliage. disease can be common when prolonged, cool, rainy weather occurs during new leaf growth.","where feasible, prune off infected wood in the fall after leaves drop from deciduous hosts and rake up and dispose of fallen leaves away from hosts. reduce splashing water and humidity within canopies if possible.",,,septoria leaf spot€”septoria spp.,"several dozen septoria spp. fungi each infect a different group of closely related hosts. azalea, cottonwood, hebe, and poplar are commonly infected."
